,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,
0,2000-08-11,,Bundesliga,Matchweek 1,Fri,Home,W,1,0,Hansa Rostock,,,,,Jörg Keßler,Match Report,,2000-2001,2000-2001,2000-2001,,
1,2000-08-18,,Bundesliga,Matchweek 2,Fri,Away,W,4,1,Energie Cottbus,,,,,Franz-Xaver Wack,Match Report,,2000-2001,2000-2001,2000-2001,,
2,2000-09-06,,Bundesliga,Matchweek 3,Wed,Home,L,2,3,1860 Munich,,,,,Alfons Berg,Match Report,,2000-2001,2000-2001,2000-2001,,
3,2000-09-09,,Bundesliga,Matchweek 4,Sat,Away,W,2,1,Werder Bremen,,,,,Lutz Michael Fröhlich,Match Report,,2000-2001,2000-2001,2000-2001,,
4,2000-09-16,,Bundesliga,Matchweek 5,Sat,Away,W,3,2,Hamburger SV,,,,,Bernd Heynemann,Match Report,,2000-2001,2000-2001,2000-2001,,
5,2000-09-23,,Bundesliga,Matchweek 6,Sat,Home,L,0,4,Schalke 04,,,,,Markus Merk,Match Report,,2000-2001,2000-2001,2000-2001,,
6,2000-09-29,,Bundesliga,Matchweek 7,Fri,Away,D,1,1,Eint Frankfurt,,,,,Hermann Albrecht,Match Report,,2000-2001,2000-2001,2000-2001,,
7,2000-10-13,,Bundesliga,Matchweek 8,Fri,Home,W,1,0,Freiburg,,,,,Herbert Fandel,Match Report,,2000-2001,2000-2001,2000-2001,,
8,2000-10-21,,Bundesliga,Matchweek 9,Sat,Away,L,0,2,Leverkusen,,,,,Helmut Fleischer,Match Report,,2000-2001,2000-2001,2000-2001,,
9,2000-10-28,,Bundesliga,Matchweek 10,Sat,Home,L,1,2,Kaiserslautern,,,,,Alfons Berg,Match Report,,2000-2001,2000-2001,2000-2001,,
10,2000-11-04,,Bundesliga,Matchweek 11,Sat,Away,L,2,6,Bayern Munich,,,,,Hartmut Strampe,Match Report,,2000-2001,2000-2001,2000-2001,,
11,2000-11-10,,Bundesliga,Matchweek 12,Fri,Home,W,2,0,Hertha BSC,,,,,Florian Meyer,Match Report,,2000-2001,2000-2001,2000-2001,,
12,2000-11-19,,Bundesliga,Matchweek 13,Sun,Away,D,1,1,Bochum,,,,,Jürgen Aust,Match Report,,2000-2001,2000-2001,2000-2001,,
13,2000-11-25,,Bundesliga,Matchweek 14,Sat,Home,W,2,1,Wolfsburg,,,,,Markus Merk,Match Report,,2000-2001,2000-2001,2000-2001,,
14,2000-12-02,,Bundesliga,Matchweek 15,Sat,Away,W,2,0,Stuttgart,,,,,Edgar Steinborn,Match Report,,2000-2001,2000-2001,2000-2001,,
15,2000-12-09,,Bundesliga,Matchweek 16,Sat,Home,W,3,0,Unterhaching,,,,,Michael Weiner,Match Report,,2000-2001,2000-2001,2000-2001,,
16,2000-12-13,,Bundesliga,Matchweek 17,Wed,Away,D,0,0,Köln,,,,,Helmut Fleischer,Match Report,,2000-2001,2000-2001,2000-2001,,
17,2000-12-16,,Bundesliga,Matchweek 18,Sat,Away,W,2,1,Hansa Rostock,,,,,Bernd Heynemann,Match Report,,2000-2001,2000-2001,2000-2001,,
18,2001-01-27,,Bundesliga,Matchweek 19,Sat,Home,W,2,0,Energie Cottbus,,,,,Lutz Michael Fröhlich,Match Report,,2000-2001,2000-2001,2000-2001,,
19,2001-02-02,,Bundesliga,Matchweek 20,Fri,Away,L,0,1,1860 Munich,,,,,Jürgen Aust,Match Report,,2000-2001,2000-2001,2000-2001,,
20,2001-02-11,,Bundesliga,Matchweek 21,Sun,Home,D,0,0,Werder Bremen,,,,,Herbert Fandel,Match Report,,2000-2001,2000-2001,2000-2001,,
21,2001-02-17,,Bundesliga,Matchweek 22,Sat,Home,W,4,2,Hamburger SV,,,,,Franz-Xaver Wack,Match Report,,2000-2001,2000-2001,2000-2001,,
22,2001-02-24,,Bundesliga,Matchweek 23,Sat,Away,D,0,0,Schalke 04,,,,,Markus Merk,Match Report,,2000-2001,2000-2001,2000-2001,,
23,2001-03-02,,Bundesliga,Matchweek 24,Fri,Home,W,6,1,Eint Frankfurt,,,,,Uwe Kemmling,Match Report,,2000-2001,2000-2001,2000-2001,,
24,2001-03-10,,Bundesliga,Matchweek 25,Sat,Away,D,2,2,Freiburg,,,,,Alfons Berg,Match Report,,2000-2001,2000-2001,2000-2001,,
25,2001-03-17,,Bundesliga,Matchweek 26,Sat,Home,L,1,3,Leverkusen,,,,,Bernd Heynemann,Match Report,,2000-2001,2000-2001,2000-2001,,
26,2001-04-01,,Bundesliga,Matchweek 27,Sun,Away,W,4,1,Kaiserslautern,,,,,Lutz Michael Fröhlich,Match Report,,2000-2001,2000-2001,2000-2001,,
27,2001-04-07,,Bundesliga,Matchweek 28,Sat,Home,D,1,1,Bayern Munich,,,,,Hartmut Strampe,Match Report,,2000-2001,2000-2001,2000-2001,,
28,2001-04-14,,Bundesliga,Matchweek 29,Sat,Away,L,0,1,Hertha BSC,,,,,Hermann Albrecht,Match Report,,2000-2001,2000-2001,2000-2001,,
29,2001-04-20,,Bundesliga,Matchweek 30,Fri,Home,W,5,0,Bochum,,,,,Helmut Fleischer,Match Report,,2000-2001,2000-2001,2000-2001,,
30,2001-04-27,,Bundesliga,Matchweek 31,Fri,Away,D,1,1,Wolfsburg,,,,,Herbert Fandel,Match Report,,2000-2001,2000-2001,2000-2001,,
31,2001-05-04,,Bundesliga,Matchweek 32,Fri,Home,D,0,0,Stuttgart,,,,,Alfons Berg,Match Report,,2000-2001,2000-2001,2000-2001,,
32,2001-05-12,,Bundesliga,Matchweek 33,Sat,Away,W,4,1,Unterhaching,,,,,Edgar Steinborn,Match Report,,2000-2001,2000-2001,2000-2001,,
33,2001-05-19,,Bundesliga,Matchweek 34,Sat,Home,D,3,3,Köln,,,,,Peter Gagelmann,Match Report,,2000-2001,2000-2001,2000-2001,,
34,2001-07-28,,Bundesliga,Matchweek 1,Sat,Home,W,2,0,Nürnberg,,,,,Michael Weiner,Match Report,,2001-2002,2001-2002,2001-2002,,
35,2001-08-04,,Bundesliga,Matchweek 2,Sat,Away,W,2,0,Hertha BSC,,,,,Helmut Fleischer,Match Report,,2001-2002,2001-2002,2001-2002,,
36,2001-08-07,,Champions Lg,Third qualifying round,Tue,Away,W,2,0,ua Shakhtar Donetsk,,,,,Knud Erik Fisker,Match Report,Leg 1 of 2,2001-2002,2001-2002,2001-2002,,
37,2001-08-11,,Bundesliga,Matchweek 3,Sat,Home,W,4,0,Wolfsburg,,,,,Franz-Xaver Wack,Match Report,,2001-2002,2001-2002,2001-2002,,
38,2001-08-18,,Bundesliga,Matchweek 4,Sat,Away,W,2,0,Hansa Rostock,,,,,Hermann Albrecht,Match Report,,2001-2002,2001-2002,2001-2002,,
39,2001-08-22,,Champions Lg,Third qualifying round,Wed,Home,W,3,1,ua Shakhtar Donetsk,,,,,Karl-Erik Nilsson,Match Report,Leg 2 of 2, Dortmund won,2001-2002,2001-2002,2001-2002,
40,2001-09-08,,Bundesliga,Matchweek 5,Sat,Home,L,0,2,Bayern Munich,,,,,Lutz Michael Fröhlich,Match Report,,2001-2002,2001-2002,2001-2002,,
41,2001-09-11,,Champions Lg,First group stage,Tue,Away,D,2,2,ua Dynamo Kyiv,,,,,Ľuboš Michel,Match Report,,2001-2002,2001-2002,2001-2002,,
42,2001-09-15,,Bundesliga,Matchweek 6,Sat,Away,L,0,1,Schalke 04,,,,,Herbert Fandel,Match Report,,2001-2002,2001-2002,2001-2002,,
43,2001-09-19,,Champions Lg,First group stage,Wed,Home,D,0,0,eng Liverpool,,,,,Valentin Ivanov,Match Report,,2001-2002,2001-2002,2001-2002,,
44,2001-09-22,,Bundesliga,Matchweek 7,Sat,Home,D,1,1,Leverkusen,,,,,Jürgen Jansen,Match Report,,2001-2002,2001-2002,2001-2002,,
45,2001-09-26,,Champions Lg,First group stage,Wed,Away,L,1,2,pt Boavista,,,,,Rune Pedersen,Match Report,,2001-2002,2001-2002,2001-2002,,
46,2001-09-29,,Bundesliga,Matchweek 8,Sat,Away,W,2,1,St. Pauli,,,,,Peter Sippel,Match Report,,2001-2002,2001-2002,2001-2002,,
47,2001-10-13,,Bundesliga,Matchweek 9,Sat,Away,W,2,1,Gladbach,,,,,Jürgen Aust,Match Report,,2001-2002,2001-2002,2001-2002,,
48,2001-10-16,,Champions Lg,First group stage,Tue,Home,W,2,1,pt Boavista,,,,,Stefano Braschi,Match Report,,2001-2002,2001-2002,2001-2002,,
49,2001-10-21,,Bundesliga,Matchweek 10,Sun,Home,L,0,2,Freiburg,,,,,Alfons Berg,Match Report,,2001-2002,2001-2002,2001-2002,,
50,2001-10-24,,Champions Lg,First group stage,Wed,Home,W,1,0,ua Dynamo Kyiv,,,,,Kyros Vassaras,Match Report,,2001-2002,2001-2002,2001-2002,,
51,2001-10-27,,Bundesliga,Matchweek 11,Sat,Away,W,2,0,Energie Cottbus,,,,,Uwe Kemmling,Match Report,,2001-2002,2001-2002,2001-2002,,
52,2001-10-30,,Champions Lg,First group stage,Tue,Away,L,0,2,eng Liverpool,,,,,Kim Milton Nielsen,Match Report,,2001-2002,2001-2002,2001-2002,,
53,2001-11-03,,Bundesliga,Matchweek 12,Sat,Home,W,1,0,Stuttgart,,,,,Wolfgang Stark,Match Report,,2001-2002,2001-2002,2001-2002,,
54,2001-11-17,,Bundesliga,Matchweek 13,Sat,Away,W,3,1,1860 Munich,,,,,Torsten Koop,Match Report,,2001-2002,2001-2002,2001-2002,,
55,2001-11-22,,UEFA Cup,Third round,Thu,Away,W,1,0,dk FC Copenhagen,,,,,Mike Riley,Match Report,Leg 1 of 2,2001-2002,2001-2002,2001-2002,,
56,2001-11-25,,Bundesliga,Matchweek 14,Sun,Home,W,3,0,Kaiserslautern,,,,,Lutz Wagner,Match Report,,2001-2002,2001-2002,2001-2002,,
57,2001-12-01,,Bundesliga,Matchweek 15,Sat,Away,W,2,0,Köln,,,,,Herbert Fandel,Match Report,,2001-2002,2001-2002,2001-2002,,
58,2001-12-04,,UEFA Cup,Third round,Tue,Home,W,1,0,dk FC Copenhagen,,,,,Thomas Michael Mccurry,Match Report,Leg 2 of 2, Dortmund won,2001-2002,2001-2002,2001-2002,
59,2001-12-08,,Bundesliga,Matchweek 16,Sat,Home,W,1,0,Hamburger SV,,,,,Helmut Fleischer,Match Report,,2001-2002,2001-2002,2001-2002,,
60,2001-12-15,,Bundesliga,Matchweek 17,Sat,Away,D,1,1,Werder Bremen,,,,,Alfons Berg,Match Report,,2001-2002,2001-2002,2001-2002,,
61,2001-12-18,,Bundesliga,Matchweek 18,Tue,Away,D,2,2,Nürnberg,,,,,Florian Meyer,Match Report,,2001-2002,2001-2002,2001-2002,,
62,2002-01-27,,Bundesliga,Matchweek 19,Sun,Home,W,3,1,Hertha BSC,,,,,Jürgen Aust,Match Report,,2001-2002,2001-2002,2001-2002,,
63,2002-02-02,,Bundesliga,Matchweek 20,Sat,Away,D,1,1,Wolfsburg,,,,,Markus Merk,Match Report,,2001-2002,2001-2002,2001-2002,,
64,2002-02-06,,Bundesliga,Matchweek 21,Wed,Home,W,2,0,Hansa Rostock,,,,,Michael Weiner,Match Report,,2001-2002,2001-2002,2001-2002,,
65,2002-02-09,,Bundesliga,Matchweek 22,Sat,Away,D,1,1,Bayern Munich,,,,,Edgar Steinborn,Match Report,,2001-2002,2001-2002,2001-2002,,
66,2002-02-16,,Bundesliga,Matchweek 23,Sat,Home,D,1,1,Schalke 04,,,,,Franz-Xaver Wack,Match Report,,2001-2002,2001-2002,2001-2002,,
67,2002-02-21,,UEFA Cup,Fourth round,Thu,Away,D,1,1,fr Lille,,,,,Daudén Ibáñez,Match Report,Leg 1 of 2,2001-2002,2001-2002,2001-2002,,
68,2002-02-24,,Bundesliga,Matchweek 24,Sun,Away,L,0,4,Leverkusen,,,,,Helmut Fleischer,Match Report,,2001-2002,2001-2002,2001-2002,,
69,2002-02-28,,UEFA Cup,Fourth round,Thu,Home,D,0,0,fr Lille,,,,,Domenico Messina,Match Report,Leg 2 of 2, Dortmund won,2001-2002,2001-2002,2001-2002,
70,2002-03-03,,Bundesliga,Matchweek 25,Sun,Home,D,1,1,St. Pauli,,,,,Lutz Michael Fröhlich,Match Report,,2001-2002,2001-2002,2001-2002,,
71,2002-03-09,,Bundesliga,Matchweek 26,Sat,Home,W,3,1,Gladbach,,,,,Peter Gagelmann,Match Report,,2001-2002,2001-2002,2001-2002,,
72,2002-03-14,,UEFA Cup,Quarter-finals,Thu,Away,D,0,0,cz Slovan Liberec,,,,,Vítor Melo Pereira,Match Report,Leg 1 of 2,2001-2002,2001-2002,2001-2002,,
73,2002-03-17,,Bundesliga,Matchweek 27,Sun,Away,W,5,1,Freiburg,,,,,Herbert Fandel,Match Report,,2001-2002,2001-2002,2001-2002,,
74,2002-03-21,,UEFA Cup,Quarter-finals,Thu,Home,W,4,0,cz Slovan Liberec,,,,,Stefano Braschi,Match Report,Leg 2 of 2, Dortmund won,2001-2002,2001-2002,2001-2002,
75,2002-03-24,,Bundesliga,Matchweek 28,Sun,Home,W,3,0,Energie Cottbus,,,,,Lutz Wagner,Match Report,,2001-2002,2001-2002,2001-2002,,
76,2002-03-30,,Bundesliga,Matchweek 29,Sat,Away,L,2,3,Stuttgart,,,,,Markus Merk,Match Report,,2001-2002,2001-2002,2001-2002,,
77,2002-04-04,,UEFA Cup,Semi-finals,Thu,Home,W,4,0,it Milan,,,,,Graham Poll,Match Report,Leg 1 of 2,2001-2002,2001-2002,2001-2002,,
78,2002-04-07,,Bundesliga,Matchweek 30,Sun,Home,W,2,1,1860 Munich,,,,,Michael Weiner,Match Report,,2001-2002,2001-2002,2001-2002,,
79,2002-04-11,,UEFA Cup,Semi-finals,Thu,Away,L,1,3,it Milan,,,,,Gilles Veissière,Match Report,Leg 2 of 2, Dortmund won,2001-2002,2001-2002,2001-2002,
80,2002-04-14,,Bundesliga,Matchweek 31,Sun,Away,L,0,1,Kaiserslautern,,,,,Hermann Albrecht,Match Report,,2001-2002,2001-2002,2001-2002,,
81,2002-04-20,,Bundesliga,Matchweek 32,Sat,Home,W,2,1,Köln,,,,,Helmut Fleischer,Match Report,,2001-2002,2001-2002,2001-2002,,
82,2002-04-27,,Bundesliga,Matchweek 33,Sat,Away,W,4,3,Hamburger SV,,,,,Herbert Fandel,Match Report,,2001-2002,2001-2002,2001-2002,,
83,2002-05-04,,Bundesliga,Matchweek 34,Sat,Home,W,2,1,Werder Bremen,,,,,Edgar Steinborn,Match Report,,2001-2002,2001-2002,2001-2002,,
84,2002-05-08,,UEFA Cup,Final,Wed,Neutral,L,2,3,nl Feyenoord,,,,,Vítor Melo Pereira,Match Report,,2001-2002,2001-2002,2001-2002,,
85,2002-08-09,,Bundesliga,Matchweek 1,Fri,Home,D,2,2,Hertha BSC,,,,,Markus Merk,Match Report,,2002-2003,2002-2003,2002-2003,,
86,2002-08-17,,Bundesliga,Matchweek 2,Sat,Away,D,1,1,Leverkusen,,,,,Franz-Xaver Wack,Match Report,,2002-2003,2002-2003,2002-2003,,
87,2002-08-24,,Bundesliga,Matchweek 3,Sat,Home,W,3,1,Stuttgart,,,,,Michael Weiner,Match Report,,2002-2003,2002-2003,2002-2003,,
88,2002-09-10,,Bundesliga,Matchweek 4,Tue,Away,D,0,0,Bochum,,,,,Edgar Steinborn,Match Report,,2002-2003,2002-2003,2002-2003,,
89,2002-09-14,,Bundesliga,Matchweek 5,Sat,Home,D,1,1,Schalke 04,,,,,Lutz Michael Fröhlich,Match Report,,2002-2003,2002-2003,2002-2003,,
90,2002-09-17,,Champions Lg,First group stage,Tue,Away,L,0,2,eng Arsenal,,,,,Anders Frisk,Match Report,,2002-2003,2002-2003,2002-2003,,
91,2002-09-21,,Bundesliga,Matchweek 6,Sat,Away,W,1,0,Hansa Rostock,,,,,Peter Sippel,Match Report,,2002-2003,2002-2003,2002-2003,,
92,2002-09-25,,Champions Lg,First group stage,Wed,Home,W,2,1,fr Auxerre,,,,,Terje Hauge,Match Report,,2002-2003,2002-2003,2002-2003,,
93,2002-09-28,,Bundesliga,Matchweek 7,Sat,Home,W,1,0,Gladbach,,,,,Jörg Keßler,Match Report,,2002-2003,2002-2003,2002-2003,,
94,2002-10-02,,Champions Lg,First group stage,Wed,Away,W,3,1,nl PSV Eindhoven,,,,,Pierluigi Collina,Match Report,,2002-2003,2002-2003,2002-2003,,
95,2002-10-05,,Bundesliga,Matchweek 8,Sat,Away,W,3,0,Hannover 96,,,,,Hermann Albrecht,Match Report,,2002-2003,2002-2003,2002-2003,,
96,2002-10-19,,Bundesliga,Matchweek 9,Sat,Home,D,0,0,Arminia,,,,,Wolfgang Stark,Match Report,,2002-2003,2002-2003,2002-2003,,
97,2002-10-22,,Champions Lg,First group stage,Tue,Home,D,1,1,nl PSV Eindhoven,,,,,Lucílio Batista,Match Report,,2002-2003,2002-2003,2002-2003,,
98,2002-10-26,,Bundesliga,Matchweek 10,Sat,Away,W,4,1,Werder Bremen,,,,,Markus Merk,Match Report,,2002-2003,2002-2003,2002-2003,,
99,2002-10-30,,Champions Lg,First group stage,Wed,Home,W,2,1,eng Arsenal,,,,,Mejuto González,Match Report,,2002-2003,2002-2003,2002-2003,,
100,2002-11-02,,Bundesliga,Matchweek 11,Sat,Home,D,1,1,Hamburger SV,,,,,Franz-Xaver Wack,Match Report,,2002-2003,2002-2003,2002-2003,,
101,2002-11-09,,Bundesliga,Matchweek 12,Sat,Away,L,1,2,Bayern Munich,,,,,Michael Weiner,Match Report,,2002-2003,2002-2003,2002-2003,,
