,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,2000-08-19,,Premier League,Matchweek 1,Sat,Away,L,0,4,Charlton Ath,,"20,043",,,Rob Harris,Match Report,,2000-2001,2000-2001,2000-2001
1,2000-08-23,,Premier League,Matchweek 2,Wed,Home,W,4,2,Sunderland,,"34,410",,,David Elleray,Match Report,,2000-2001,2000-2001,2000-2001
2,2000-08-26,,Premier League,Matchweek 3,Sat,Home,L,1,2,Coventry City,,"34,140",,,Andy D'Urso,Match Report,,2000-2001,2000-2001,2000-2001
3,2000-09-05,,Premier League,Matchweek 4,Tue,Away,W,2,1,Leeds United,,"40,055",,,Graham Poll,Match Report,,2000-2001,2000-2001,2000-2001
4,2000-09-09,,Premier League,Matchweek 5,Sat,Away,L,2,3,Liverpool,,"44,692",,,Graham Barber,Match Report,,2000-2001,2000-2001,2000-2001
5,2000-09-17,,Premier League,Matchweek 6,Sun,Home,D,1,1,Middlesbrough,,"32,053",,,Stephen Lodge,Match Report,,2000-2001,2000-2001,2000-2001
6,2000-09-23,,Premier League,Matchweek 7,Sat,Away,D,0,0,Tottenham,,"36,069",,,Stephen Bennett,Match Report,,2000-2001,2000-2001,2000-2001
7,2000-09-30,,Premier League,Matchweek 8,Sat,Home,L,0,1,Newcastle Utd,,"34,497",,,Paul Taylor,Match Report,,2000-2001,2000-2001,2000-2001
8,2000-10-14,,Premier League,Matchweek 9,Sat,Home,W,2,0,Bradford City,,"34,229",,,Barry Knight,Match Report,,2000-2001,2000-2001,2000-2001
9,2000-10-23,,Premier League,Matchweek 10,Mon,Away,W,2,0,Southampton,,"15,056",,,Alan Wiley,Match Report,,2000-2001,2000-2001,2000-2001
10,2000-10-28,,Premier League,Matchweek 11,Sat,Away,L,0,5,Arsenal,,"38,049",,,Rob Styles,Match Report,,2000-2001,2000-2001,2000-2001
11,2000-11-04,,Premier League,Matchweek 12,Sat,Home,L,0,1,Leicester City,,"34,279",,,Mark Halsey,Match Report,,2000-2001,2000-2001,2000-2001
12,2000-11-11,,Premier League,Matchweek 13,Sat,Away,L,1,4,West Ham,,"26,022",,,Jeff Winter,Match Report,,2000-2001,2000-2001,2000-2001
13,2000-11-18,,Premier League,Matchweek 14,Sat,Home,L,0,1,Manchester Utd,,"34,429",,,Steve Dunn,Match Report,,2000-2001,2000-2001,2000-2001
14,2000-11-25,,Premier League,Matchweek 15,Sat,Home,L,2,3,Ipswich Town,,"33,741",,,Mike Dean,Match Report,,2000-2001,2000-2001,2000-2001
15,2000-12-03,,Premier League,Matchweek 16,Sun,Away,L,1,2,Chelsea,,"34,971",,,Dermot Gallagher,Match Report,,2000-2001,2000-2001,2000-2001
16,2000-12-09,,Premier League,Matchweek 17,Sat,Home,W,5,0,Everton,,"34,516",,,Stephen Bennett,Match Report,,2000-2001,2000-2001,2000-2001
17,2000-12-16,,Premier League,Matchweek 18,Sat,Away,D,2,2,Aston Villa,,"29,281",,,Andy D'Urso,Match Report,,2000-2001,2000-2001,2000-2001
18,2000-12-23,,Premier League,Matchweek 19,Sat,Away,L,0,1,Sunderland,,"47,475",,,David Elleray,Match Report,,2000-2001,2000-2001,2000-2001
19,2000-12-26,,Premier League,Matchweek 20,Tue,Home,D,0,0,Derby County,,"34,321",,,Mike Riley,Match Report,,2000-2001,2000-2001,2000-2001
20,2000-12-30,,Premier League,Matchweek 21,Sat,Home,L,1,4,Charlton Ath,,"33,280",,,Clive Wilkes,Match Report,,2000-2001,2000-2001,2000-2001
21,2001-01-01,,Premier League,Matchweek 22,Mon,Away,D,1,1,Coventry City,,"21,999",,,Barry Knight,Match Report,,2000-2001,2000-2001,2000-2001
22,2001-01-13,,Premier League,Matchweek 23,Sat,Home,L,0,4,Leeds United,,"34,288",,,Mike Dean,Match Report,,2000-2001,2000-2001,2000-2001
23,2001-01-20,,Premier League,Matchweek 24,Sat,Away,D,1,1,Derby County,,"31,174",,,Jeff Winter,Match Report,,2000-2001,2000-2001,2000-2001
24,2001-01-31,,Premier League,Matchweek 25,Wed,Home,D,1,1,Liverpool,,"34,629",,,Peter Jones,Match Report,,2000-2001,2000-2001,2000-2001
25,2001-02-03,,Premier League,Matchweek 26,Sat,Away,D,1,1,Middlesbrough,,"31,794",,,Alan Wiley,Match Report,,2000-2001,2000-2001,2000-2001
26,2001-02-10,,Premier League,Matchweek 27,Sat,Home,L,0,1,Tottenham,,"34,399",,,Steve Dunn,Match Report,,2000-2001,2000-2001,2000-2001
27,2001-02-24,,Premier League,Matchweek 28,Sat,Away,W,1,0,Newcastle Utd,,"51,981",,,Rob Harris,Match Report,,2000-2001,2000-2001,2000-2001
28,2001-03-03,,Premier League,Matchweek 29,Sat,Home,L,0,1,Southampton,,"33,990",,,Jeff Winter,Match Report,,2000-2001,2000-2001,2000-2001
29,2001-03-17,,Premier League,Matchweek 30,Sat,Away,D,2,2,Bradford City,,"19,117",,,Steve Dunn,Match Report,,2000-2001,2000-2001,2000-2001
30,2001-03-31,,Premier League,Matchweek 31,Sat,Home,L,1,3,Aston Villa,,"34,247",,,Rob Styles,Match Report,,2000-2001,2000-2001,2000-2001
31,2001-04-08,,Premier League,Matchweek 32,Sun,Away,L,1,3,Everton,,"36,561",,,David Elleray,Match Report,,2000-2001,2000-2001,2000-2001
32,2001-04-11,,Premier League,Matchweek 34,Wed,Home,L,0,4,Arsenal,,"33,444",,,Neale Barry,Match Report,,2000-2001,2000-2001,2000-2001
33,2001-04-14,,Premier League,Matchweek 33,Sat,Away,W,2,1,Leicester City,,"20,224",,,Barry Knight,Match Report,,2000-2001,2000-2001,2000-2001
34,2001-04-21,,Premier League,Matchweek 35,Sat,Away,D,1,1,Manchester Utd,,"67,535",,,David Elleray,Match Report,,2000-2001,2000-2001,2000-2001
35,2001-04-28,,Premier League,Matchweek 36,Sat,Home,W,1,0,West Ham,,"33,737",,,Peter Jones,Match Report,,2000-2001,2000-2001,2000-2001
36,2001-05-07,,Premier League,Matchweek 37,Mon,Away,L,1,2,Ipswich Town,,"25,004",,,Stephen Lodge,Match Report,,2000-2001,2000-2001,2000-2001
37,2001-05-19,,Premier League,Matchweek 38,Sat,Home,L,1,2,Chelsea,,"34,479",,,Mike Riley,Match Report,,2000-2001,2000-2001,2000-2001
38,2002-08-17,,Premier League,Matchweek 1,Sat,Away,L,0,3,Leeds United,,"40,195",,,Graham Poll,Match Report,,2002-2003,2002-2003,2002-2003
39,2002-08-24,,Premier League,Matchweek 2,Sat,Home,W,1,0,Newcastle Utd,,"34,776",,,Uriah Rennie,Match Report,,2002-2003,2002-2003,2002-2003
40,2002-08-28,,Premier League,Matchweek 3,Wed,Away,L,0,1,Aston Villa,,"33,494",,,David Pugh,Match Report,,2002-2003,2002-2003,2002-2003
41,2002-08-31,,Premier League,Matchweek 4,Sat,Home,W,3,1,Everton,,"34,835",,,Barry Knight,Match Report,,2002-2003,2002-2003,2002-2003
42,2002-09-10,,Premier League,Matchweek 5,Tue,Away,L,1,2,Arsenal,,"37,878",,,Clive Wilkes,Match Report,,2002-2003,2002-2003,2002-2003
43,2002-09-15,,Premier League,Matchweek 6,Sun,Home,D,2,2,Blackburn,,"34,130",,,Mike Dean,Match Report,,2002-2003,2002-2003,2002-2003
44,2002-09-21,,Premier League,Matchweek 7,Sat,Away,D,0,0,West Ham,,"35,550",,,Graham Barber,Match Report,,2002-2003,2002-2003,2002-2003
45,2002-09-28,,Premier League,Matchweek 8,Sat,Home,L,0,3,Liverpool,,"35,131",,,Paul Durkin,Match Report,,2002-2003,2002-2003,2002-2003
46,2002-10-05,,Premier League,Matchweek 9,Sat,Away,L,0,2,Southampton,,"31,009",,,Matt Messias,Match Report,,2002-2003,2002-2003,2002-2003
47,2002-10-19,,Premier League,Matchweek 10,Sat,Home,L,0,3,Chelsea,,"34,953",,,Dermot Gallagher,Match Report,,2002-2003,2002-2003,2002-2003
48,2002-10-26,,Premier League,Matchweek 11,Sat,Away,W,2,0,Birmingham City,,"29,316",,,Stephen Bennett,Match Report,,2002-2003,2002-2003,2002-2003
49,2002-11-02,,Premier League,Matchweek 12,Sat,Away,W,2,1,West Brom,,"27,044",,,David Elleray,Match Report,,2002-2003,2002-2003,2002-2003
50,2002-11-09,,Premier League,Matchweek 13,Sat,Home,W,3,1,Manchester Utd,,"34,649",,,Paul Durkin,Match Report,,2002-2003,2002-2003,2002-2003
51,2002-11-16,,Premier League,Matchweek 14,Sat,Home,L,0,1,Charlton Ath,,"33,455",,,Graham Barber,Match Report,,2002-2003,2002-2003,2002-2003
52,2002-11-23,,Premier League,Matchweek 15,Sat,Away,L,1,3,Middlesbrough,,"31,510",,,Neale Barry,Match Report,,2002-2003,2002-2003,2002-2003
53,2002-11-30,,Premier League,Matchweek 16,Sat,Home,W,2,0,Bolton,,"34,860",,,Jeff Winter,Match Report,,2002-2003,2002-2003,2002-2003
54,2002-12-09,,Premier League,Matchweek 17,Mon,Away,W,3,0,Sunderland,,"36,511",,,Steve Dunn,Match Report,,2002-2003,2002-2003,2002-2003
55,2002-12-14,,Premier League,Matchweek 18,Sat,Away,D,2,2,Charlton Ath,,"26,484",,,David Pugh,Match Report,,2002-2003,2002-2003,2002-2003
56,2002-12-23,,Premier League,Matchweek 19,Mon,Home,L,2,3,Tottenham,,"34,563",,,Jeff Winter,Match Report,,2002-2003,2002-2003,2002-2003
57,2002-12-26,,Premier League,Matchweek 20,Thu,Home,W,3,1,Aston Villa,,"33,991",,,Mark Halsey,Match Report,,2002-2003,2002-2003,2002-2003
58,2002-12-28,,Premier League,Matchweek 21,Sat,Away,W,1,0,Fulham,,"17,937",,,Paul Durkin,Match Report,,2002-2003,2002-2003,2002-2003
59,2003-01-01,,Premier League,Matchweek 22,Wed,Away,D,2,2,Everton,,"40,163",,,Andy D'Urso,Match Report,,2002-2003,2002-2003,2002-2003
60,2003-01-11,,Premier League,Matchweek 23,Sat,Home,W,2,1,Leeds United,,"34,884",,,Rob Styles,Match Report,,2002-2003,2002-2003,2002-2003
61,2003-01-18,,Premier League,Matchweek 24,Sat,Away,L,0,2,Newcastle Utd,,"52,152",,,Graham Poll,Match Report,,2002-2003,2002-2003,2002-2003
62,2003-01-29,,Premier League,Matchweek 25,Wed,Home,W,4,1,Fulham,,"33,260",,,Stephen Bennett,Match Report,,2002-2003,2002-2003,2002-2003
63,2003-02-01,,Premier League,Matchweek 26,Sat,Home,L,1,2,West Brom,,"34,765",,,Neale Barry,Match Report,,2002-2003,2002-2003,2002-2003
64,2003-02-09,,Premier League,Matchweek 27,Sun,Away,D,1,1,Manchester Utd,,"67,646",,,Alan Wiley,Match Report,,2002-2003,2002-2003,2002-2003
65,2003-02-22,,Premier League,Matchweek 28,Sat,Home,L,1,5,Arsenal,,"34,960",,,Paul Durkin,Match Report,,2002-2003,2002-2003,2002-2003
66,2003-03-01,,Premier League,Matchweek 29,Sat,Away,L,0,1,Blackburn,,"28,647",,,Steve Dunn,Match Report,,2002-2003,2002-2003,2002-2003
67,2003-03-16,,Premier League,Matchweek 30,Sun,Home,W,1,0,Birmingham City,,"34,596",,,Matt Messias,Match Report,,2002-2003,2002-2003,2002-2003
68,2003-03-22,,Premier League,Matchweek 31,Sat,Away,L,0,5,Chelsea,,"41,105",,,Phil Dowd,Match Report,,2002-2003,2002-2003,2002-2003
69,2003-04-05,,Premier League,Matchweek 32,Sat,Away,L,0,2,Bolton,,"26,949",,,Clive Wilkes,Match Report,,2002-2003,2002-2003,2002-2003
70,2003-04-12,,Premier League,Matchweek 33,Sat,Home,D,0,0,Middlesbrough,,"34,793",,,Andy D'Urso,Match Report,,2002-2003,2002-2003,2002-2003
71,2003-04-18,,Premier League,Matchweek 34,Fri,Away,W,2,0,Tottenham,,"36,075",,,Mike Riley,Match Report,,2002-2003,2002-2003,2002-2003
72,2003-04-21,,Premier League,Matchweek 35,Mon,Home,W,3,0,Sunderland,,"34,357",,,Graham Barber,Match Report,,2002-2003,2002-2003,2002-2003
73,2003-04-27,,Premier League,Matchweek 36,Sun,Home,L,0,1,West Ham,,"34,815",,,Rob Styles,Match Report,,2002-2003,2002-2003,2002-2003
74,2003-05-03,,Premier League,Matchweek 37,Sat,Away,W,2,1,Liverpool,,"44,220",,,Neale Barry,Match Report,,2002-2003,2002-2003,2002-2003
75,2003-05-11,,Premier League,Matchweek 38,Sun,Home,L,0,1,Southampton,,"34,957",,,Mike Dean,Match Report,,2002-2003,2002-2003,2002-2003
76,2003-08-14,,UEFA Cup,Qualifying round,Thu,Home,W,5,0,wls The New Saints,,,,,Alexey Tiumin,Match Report,Leg 1 of 2,2003-2004,2003-2004,2003-2004
77,2003-08-17,,Premier League,Matchweek 1,Sun,Away,W,3,0,Charlton Ath,,"25,846",,,Mike Dean,Match Report,,2003-2004,2003-2004,2003-2004
78,2003-08-23,,Premier League,Matchweek 2,Sat,Home,D,1,1,Portsmouth,,"46,287",,,Matt Messias,Match Report,,2003-2004,2003-2004,2003-2004
79,2003-08-25,,Premier League,Matchweek 3,Mon,Away,W,3,2,Blackburn,,"23,353",,,Alan Wiley,Match Report,,2003-2004,2003-2004,2003-2004
80,2003-08-28,,UEFA Cup,Qualifying round,Thu,Away,W,2,0,wls The New Saints,,,,,Zsolt Szabó,Match Report,Leg 2 of 2; Manchester City won,2003-2004,2003-2004,2003-2004
81,2003-08-31,,Premier League,Matchweek 4,Sun,Home,L,1,2,Arsenal,,"46,436",,,Graham Poll,Match Report,,2003-2004,2003-2004,2003-2004
82,2003-09-14,,Premier League,Matchweek 5,Sun,Home,W,4,1,Aston Villa,,"46,687",,,Mark Halsey,Match Report,,2003-2004,2003-2004,2003-2004
83,2003-09-20,,Premier League,Matchweek 6,Sat,Away,D,2,2,Fulham,,"16,124",,,Phil Dowd,Match Report,,2003-2004,2003-2004,2003-2004
84,2003-09-24,,UEFA Cup,First round,Wed,Home,W,3,2,be Lokeren,,,,,Grzegorz Gilewski,Match Report,Leg 1 of 2,2003-2004,2003-2004,2003-2004
85,2003-09-28,,Premier League,Matchweek 7,Sun,Home,D,0,0,Tottenham,,"46,842",,,Neale Barry,Match Report,,2003-2004,2003-2004,2003-2004
86,2003-10-04,,Premier League,Matchweek 8,Sat,Away,L,0,1,Wolves,,"29,386",,,Jeff Winter,Match Report,,2003-2004,2003-2004,2003-2004
87,2003-10-15,,UEFA Cup,First round,Wed,Away,W,1,0,be Lokeren,,,,,Damien Ledentu,Match Report,Leg 2 of 2; Manchester City won,2003-2004,2003-2004,2003-2004
88,2003-10-18,,Premier League,Matchweek 9,Sat,Home,W,6,2,Bolton,,"47,101",,,Stephen Bennett,Match Report,,2003-2004,2003-2004,2003-2004
89,2003-10-25,,Premier League,Matchweek 10,Sat,Away,L,0,1,Chelsea,,"41,143",,,Phil Dowd,Match Report,,2003-2004,2003-2004,2003-2004
90,2003-11-01,,Premier League,Matchweek 11,Sat,Away,W,2,0,Southampton,,"31,952",,,Alan Wiley,Match Report,,2003-2004,2003-2004,2003-2004
91,2003-11-06,,UEFA Cup,Second round,Thu,Home,D,1,1,pl Dyskobolia,,,,,Georgios Kasnaferis,Match Report,Leg 1 of 2,2003-2004,2003-2004,2003-2004
92,2003-11-09,,Premier League,Matchweek 12,Sun,Home,L,0,3,Leicester City,,"46,966",,,Mike Riley,Match Report,,2003-2004,2003-2004,2003-2004
93,2003-11-22,,Premier League,Matchweek 13,Sat,Away,L,0,3,Newcastle Utd,,"52,159",,,Neale Barry,Match Report,,2003-2004,2003-2004,2003-2004
94,2003-11-27,,UEFA Cup,Second round,Thu,Away,D,0,0,pl Dyskobolia,,,,,Peter Fröjdfeldt,Match Report,Leg 2 of 2; Dyskobolia won,2003-2004,2003-2004,2003-2004
95,2003-11-30,,Premier League,Matchweek 14,Sun,Home,L,0,1,Middlesbrough,,"46,824",,,Mike Riley,Match Report,,2003-2004,2003-2004,2003-2004
96,2003-12-07,,Premier League,Matchweek 15,Sun,Away,D,0,0,Everton,,"37,871",,,Jeff Winter,Match Report,,2003-2004,2003-2004,2003-2004
97,2003-12-13,,Premier League,Matchweek 16,Sat,Away,L,1,3,Manchester Utd,,"67,643",,,Mark Halsey,Match Report,,2003-2004,2003-2004,2003-2004
98,2003-12-22,,Premier League,Matchweek 17,Mon,Home,D,1,1,Leeds United,,"47,126",,,Graham Barber,Match Report,,2003-2004,2003-2004,2003-2004
99,2003-12-26,,Premier League,Matchweek 18,Fri,Away,L,1,2,Birmingham City,,"29,520",,,Uriah Rennie,Match Report,,2003-2004,2003-2004,2003-2004
100,2003-12-28,,Premier League,Matchweek 19,Sun,Home,D,2,2,Liverpool,,"47,201",,,Mike Riley,Match Report,,2003-2004,2003-2004,2003-2004
101,2004-01-07,,Premier League,Matchweek 20,Wed,Home,D,1,1,Charlton Ath,,"44,307",,,Peter Walton,Match Report,,2003-2004,2003-2004,2003-2004
102,2004-01-10,,Premier League,Matchweek 21,Sat,Away,L,2,4,Portsmouth,,"20,120",,,Matt Messias,Match Report,,2003-2004,2003-2004,2003-2004
103,2004-01-17,,Premier League,Matchweek 22,Sat,Home,D,1,1,Blackburn,,"47,090",,,Mike Dean,Match Report,,2003-2004,2003-2004,2003-2004
104,2004-02-01,,Premier League,Matchweek 23,Sun,Away,L,1,2,Arsenal,,"38,103",,,Alan Wiley,Match Report,,2003-2004,2003-2004,2003-2004
105,2004-02-08,,Premier League,Matchweek 24,Sun,Home,D,0,0,Birmingham City,,"46,967",,,Paul Durkin,Match Report,,2003-2004,2003-2004,2003-2004
106,2004-02-11,,Premier League,Matchweek 25,Wed,Away,L,1,2,Liverpool,,"43,257",,,Mike Riley,Match Report,,2003-2004,2003-2004,2003-2004
107,2004-02-21,,Premier League,Matchweek 26,Sat,Away,W,3,1,Bolton,,"27,301",,,Steve Dunn,Match Report,,2003-2004,2003-2004,2003-2004
108,2004-02-28,,Premier League,Matchweek 27,Sat,Home,L,0,1,Chelsea,,"47,304",,,Rob Styles,Match Report,,2003-2004,2003-2004,2003-2004
109,2004-03-14,,Premier League,Matchweek 28,Sun,Home,W,4,1,Manchester Utd,,"47,284",,,Stephen Bennett,Match Report,,2003-2004,2003-2004,2003-2004
110,2004-03-22,,Premier League,Matchweek 29,Mon,Away,L,1,2,Leeds United,,"36,998",,,Alan Wiley,Match Report,,2003-2004,2003-2004,2003-2004
111,2004-03-27,,Premier League,Matchweek 30,Sat,Home,D,0,0,Fulham,,"46,522",,,Jeff Winter,Match Report,,2003-2004,2003-2004,2003-2004
112,2004-04-04,,Premier League,Matchweek 31,Sun,Away,D,1,1,Aston Villa,,"37,602",,,Uriah Rennie,Match Report,,2003-2004,2003-2004,2003-2004
113,2004-04-10,,Premier League,Matchweek 32,Sat,Home,D,3,3,Wolves,,"47,248",,,Jeff Winter,Match Report,,2003-2004,2003-2004,2003-2004
114,2004-04-12,,Premier League,Matchweek 33,Mon,Away,D,1,1,Tottenham,,"35,282",,,Chris Foy,Match Report,,2003-2004,2003-2004,2003-2004
115,2004-04-17,,Premier League,Matchweek 34,Sat,Home,L,1,3,Southampton,,"47,152",,,Graham Barber,Match Report,,2003-2004,2003-2004,2003-2004
116,2004-04-24,,Premier League,Matchweek 35,Sat,Away,D,1,1,Leicester City,,"31,457",,,Andy D'Urso,Match Report,,2003-2004,2003-2004,2003-2004
117,2004-05-01,,Premier League,Matchweek 36,Sat,Home,W,1,0,Newcastle Utd,,"47,266",,,Mark Halsey,Match Report,,2003-2004,2003-2004,2003-2004
118,2004-05-08,,Premier League,Matchweek 37,Sat,Away,L,1,2,Middlesbrough,,"34,734",,,Mike Riley,Match Report,,2003-2004,2003-2004,2003-2004
119,2004-05-15,,Premier League,Matchweek 38,Sat,Home,W,5,1,Everton,,"47,152",,,Steve Dunn,Match Report,,2003-2004,2003-2004,2003-2004
120,2004-08-14,,Premier League,Matchweek 1,Sat,Home,D,1,1,Fulham,,"44,026",,,Matt Messias,Match Report,,2004-2005,2004-2005,2004-2005
121,2004-08-21,,Premier League,Matchweek 2,Sat,Away,L,1,2,Liverpool,,"42,042",,,Graham Poll,Match Report,,2004-2005,2004-2005,2004-2005
122,2004-08-24,,Premier League,Matchweek 3,Tue,Away,L,0,1,Birmingham City,,"28,551",,,Phil Dowd,Match Report,,2004-2005,2004-2005,2004-2005
123,2004-08-28,,Premier League,Matchweek 4,Sat,Home,W,4,0,Charlton Ath,,"43,593",,,Mark Halsey,Match Report,,2004-2005,2004-2005,2004-2005
124,2004-09-11,,Premier League,Matchweek 5,Sat,Home,L,0,1,Everton,,"47,006",,,Stephen Bennett,Match Report,,2004-2005,2004-2005,2004-2005
125,2004-09-18,,Premier League,Matchweek 6,Sat,Away,W,2,1,Crystal Palace,,"25,052",,,Martin Atkinson,Match Report,,2004-2005,2004-2005,2004-2005
126,2004-09-25,,Premier League,Matchweek 7,Sat,Home,L,0,1,Arsenal,,"47,015",,,Neale Barry,Match Report,,2004-2005,2004-2005,2004-2005
127,2004-10-02,,Premier League,Matchweek 8,Sat,Away,D,0,0,Southampton,,"28,605",,,Uriah Rennie,Match Report,,2004-2005,2004-2005,2004-2005
128,2004-10-16,,Premier League,Matchweek 9,Sat,Home,W,1,0,Chelsea,,"45,047",,,Howard Webb,Match Report,,2004-2005,2004-2005,2004-2005
129,2004-10-24,,Premier League,Matchweek 10,Sun,Away,L,3,4,Newcastle Utd,,"52,316",,,Steve Dunn,Match Report,,2004-2005,2004-2005,2004-2005
130,2004-11-01,,Premier League,Matchweek 11,Mon,Home,D,1,1,Norwich City,,"42,803",,,Stephen Bennett,Match Report,,2004-2005,2004-2005,2004-2005
131,2004-11-07,,Premier League,Matchweek 12,Sun,Away,D,0,0,Manchester Utd,,"67,863",,,Graham Poll,Match Report,,2004-2005,2004-2005,2004-2005
132,2004-11-13,,Premier League,Matchweek 13,Sat,Home,D,1,1,Blackburn,,"45,504",,,Mark Clattenburg,Match Report,,2004-2005,2004-2005,2004-2005
133,2004-11-20,,Premier League,Matchweek 14,Sat,Away,W,3,1,Portsmouth,,"20,101",,,Matt Messias,Match Report,,2004-2005,2004-2005,2004-2005
134,2004-11-27,,Premier League,Matchweek 15,Sat,Home,W,2,0,Aston Villa,,"45,805",,,Mike Riley,Match Report,,2004-2005,2004-2005,2004-2005
135,2004-12-06,,Premier League,Matchweek 16,Mon,Away,L,2,3,Middlesbrough,,"29,787",,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005
136,2004-12-11,,Premier League,Matchweek 17,Sat,Home,L,0,1,Tottenham,,"45,805",,,Dermot Gallagher,Match Report,,2004-2005,2004-2005,2004-2005
137,2004-12-18,,Premier League,Matchweek 18,Sat,Away,W,1,0,Bolton,,"27,274",,,Uriah Rennie,Match Report,,2004-2005,2004-2005,2004-2005
138,2004-12-26,,Premier League,Matchweek 19,Sun,Away,L,1,2,Everton,,"40,530",,,Phil Dowd,Match Report,,2004-2005,2004-2005,2004-2005
139,2004-12-28,,Premier League,Matchweek 20,Tue,Home,D,1,1,West Brom,,"47,177",,,Andy D'Urso,Match Report,,2004-2005,2004-2005,2004-2005
140,2005-01-01,,Premier League,Matchweek 21,Sat,Home,W,2,1,Southampton,,"42,895",,,Matt Messias,Match Report,,2004-2005,2004-2005,2004-2005
141,2005-01-04,,Premier League,Matchweek 22,Tue,Away,D,1,1,Arsenal,,"38,086",,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005
142,2005-01-15,,Premier League,Matchweek 23,Sat,Home,W,3,1,Crystal Palace,,"44,010",,,Andre Marriner,Match Report,,2004-2005,2004-2005,2004-2005
143,2005-01-22,,Premier League,Matchweek 24,Sat,Away,L,0,2,West Brom,,"25,210",,,Graham Poll,Match Report,,2004-2005,2004-2005,2004-2005
144,2005-02-02,,Premier League,Matchweek 25,Wed,Home,D,1,1,Newcastle Utd,,"45,752",,,Andy D'Urso,Match Report,,2004-2005,2004-2005,2004-2005
145,2005-02-06,,Premier League,Matchweek 26,Sun,Away,D,0,0,Chelsea,,"42,093",,,Howard Webb,Match Report,,2004-2005,2004-2005,2004-2005
146,2005-02-13,,Premier League,Matchweek 27,Sun,Home,L,0,2,Manchester Utd,,"47,111",,,Stephen Bennett,Match Report,,2004-2005,2004-2005,2004-2005
147,2005-02-28,,Premier League,Matchweek 28,Mon,Away,W,3,2,Norwich City,,"24,302",,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005
148,2005-03-07,,Premier League,Matchweek 29,Mon,Home,L,0,1,Bolton,,"43,050",,,Alan Wiley,Match Report,,2004-2005,2004-2005,2004-2005
149,2005-03-19,,Premier League,Matchweek 30,Sat,Away,L,1,2,Tottenham,,"35,861",,,Barry Knight,Match Report,,2004-2005,2004-2005,2004-2005
150,2005-04-02,,Premier League,Matchweek 31,Sat,Away,D,2,2,Charlton Ath,,"26,443",,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005
151,2005-04-09,,Premier League,Matchweek 32,Sat,Home,W,1,0,Liverpool,,"47,203",,,Mike Riley,Match Report,,2004-2005,2004-2005,2004-2005
152,2005-04-16,,Premier League,Matchweek 33,Sat,Away,D,1,1,Fulham,,"21,796",,,Neale Barry,Match Report,,2004-2005,2004-2005,2004-2005
153,2005-04-20,,Premier League,Matchweek 34,Wed,Home,W,3,0,Birmingham City,,"42,453",,,Martin Atkinson,Match Report,,2004-2005,2004-2005,2004-2005
154,2005-04-23,,Premier League,Matchweek 35,Sat,Away,D,0,0,Blackburn,,"24,646",,,Chris Foy,Match Report,,2004-2005,2004-2005,2004-2005
155,2005-04-30,,Premier League,Matchweek 36,Sat,Home,W,2,0,Portsmouth,,"46,454",,,Andre Marriner,Match Report,,2004-2005,2004-2005,2004-2005
156,2005-05-07,,Premier League,Matchweek 37,Sat,Away,W,2,1,Aston Villa,,"39,645",,,Richard Beeby,Match Report,,2004-2005,2004-2005,2004-2005
157,2005-05-15,,Premier League,Matchweek 38,Sun,Home,D,1,1,Middlesbrough,,"47,221",,,Rob Styles,Match Report,,2004-2005,2004-2005,2004-2005
